Year,Tourist Economic Activity,T-Revenues,T-Expendetures,T-Comensation,T-Saudi,T-Non-Saudi,T-Total,Establishments,Saudi-Male,Saudi-Female, Non-Saudi-Male, Non-Saudi-Female
2010,"Passenger rail transport, interurban","142,125","71,254","58,652",598,204,802,6,,,,
2010,Urban and suburban passenger land transport,"2,917,223","1,373,806","1,087,918","11,954","21,361","33,315","1,086",,,,
2010,Other passenger land transport,"73,324","37,444","30,931",182,722,904,27,,,,
2010,Sea and coastal passenger water transport,"3,824","1,205","1,985",14,43,57,14,,,,
2010,Inland passenger water transport,"11,528","4,741","5,698",33,154,187,12,,,,
2010,Passenger air transport,"30,548,692","14,697,144","3,544,572","16,070","6,783","22,853",207,,,,
2010,Short term accommodation activities,"14,069,376","7,330,785","2,897,591","22,238","72,442","94,680","21,731",,,,
2010,"Camping grounds, recreational vehicle parks and trailer parks","19,016","9,508","9,362",93,229,322,102,,,,
2010,Other accommodation,"125,429","41,423","61,254",240,"1,795","2,035",187,,,,
2010,Restaurants and mobile food service activities,"30,556,590","16,235,915","6,412,514","25,405","195,169","220,574","53,073",,,,
2010,Other food service activities,"126,702","60,854","25,694",157,529,686,115,,,,
2010,Beverage serving activities,"2,555,569","1,293,314","706,982","3,087","20,176","23,263","6,647",,,,
2010,Real estate activities with own or leased property,"17,815,781","6,505,737","2,215,280","32,227","34,608","66,835","20,733",,,,
2010,Real estate activities on a fee or contract basis,"598,674","133,688","325,468","4,967","5,125","10,092","3,094",,,,
2010,Renting and leasing of motor vehicles,"5,416,703","2,216,098","542,153","5,138","10,326","15,464","3,179",,,,
2010,Renting and leasing of recreational and sports goods,"99,461","65,179","15,362",117,386,503,168,,,,
2010,Travel agency activities,"3,241,580","1,489,912","426,422","3,396","5,412","8,808","1,340",,,,
2010,Tour operator activities,"1,541,613","827,439","174,235","2,545","2,423","4,968",822,,,,
2010,Other reservation service and related activities,"63,420","22,365","17,643",143,272,415,102,,,,
2010,"Creative, arts and entertainment activities","246,148","101,423","21,542",234,508,742,215,,,,
2010,Museums activities and operation of historical sites and buildings,"24,367","13,008","4,021",41,90,131,98,,,,
2010,Botanical and zoological gardens and nature reserves activities,"158,689","92,386","12,547",86,317,403,164,,,,
2010,Gambling and betting activities,0,0,0,0,0,0,0,,,,
2010,Operation of sports facilities,"304,949","87,883","44,749",156,424,580,228,,,,
2010,Other sports activities,"23,292","7,965","6,425",68,144,212,81,,,,
2010,Activities of amusement parks and theme parks,"1,060,607","351,307","187,523","1,504","3,818","5,322",427,,,,
2010,Other amusement and recreation activities n.e.c.,"176,306","56,648","15,526",146,310,456,122,,,,
2011,"Passenger rail transport, interurban","172,852","98,542","63,513",624,231,855,6,,,,
2011,Urban and suburban passenger land transport,"2,657,567","1,401,282","1,109,676","12,193","21,788","33,981","1,119",,,,
2011,Other passenger land transport,"69,650","37,818","31,240",184,736,920,28,,,,
2011,Sea and coastal passenger water transport,"3,842","1,217","2,025",14,43,57,14,,,,
2011,Inland passenger water transport,"11,603","4,788","5,812",33,156,189,12,,,,
2011,Passenger air transport,"30,854,179","14,844,115","3,620,018","16,231","6,851","23,082",211,,,,
2011,Short term accommodation activities,"14,210,070","7,477,401","2,926,567","22,683","73,166","95,849","22,383",,,,
2011,"Camping grounds, recreational vehicle parks and trailer parks","19,396","9,698","9,456",94,234,328,104,,,,
2011,Other accommodation,"109,557","42,666","61,867",245,"1,831","2,076",193,,,,
2011,Restaurants and mobile food service activities,"31,473,288","16,560,633","6,540,764","25,659","201,024","226,683","55,196",,,,
2011,Other food service activities,"129,236","61,463","25,951",160,540,700,117,,,,
2011,Beverage serving activities,"2,581,125","1,306,247","714,052","3,149","20,378","23,527","6,780",,,,
2011,Real estate activities with own or leased property,"17,993,939","6,570,794","2,259,586","32,549","34,954","67,503","21,355",,,,
2011,Real estate activities on a fee or contract basis,"558,220","175,025","328,723","5,017","5,176","10,193","3,156",,,,
2011,Renting and leasing of motor vehicles,"5,470,870","2,260,420","552,996","5,189","10,429","15,618","3,306",,,,
2011,Renting and leasing of recreational and sports goods,"93,386","65,831","15,516",118,394,512,173,,,,
2011,Travel agency activities,"3,306,412","1,504,811","434,950","3,464","5,520","8,984","1,367",,,,
2011,Tour operator activities,"1,557,029","843,988","177,720","2,596","2,471","5,067",838,,,,
2011,Other reservation service and related activities,"64,688","22,589","17,819",147,275,422,103,,,,
2011,"Creative, arts and entertainment activities","248,609","103,451","21,757",239,513,752,217,,,,
2011,Museums activities and operation of historical sites and buildings,"24,854","13,138","4,061",41,91,132,99,,,,
2011,Botanical and zoological gardens and nature reserves activities,"161,863","94,234","12,672",87,323,410,167,,,,
2011,Gambling and betting activities,0,0,0,0,0,0,0,,,,
2011,Operation of sports facilities,"307,998","89,641","45,644",158,432,590,233,,,,
2011,Other sports activities,"23,525","9,015","6,554",69,147,216,83,,,,
2011,Activities of amusement parks and theme parks,"1,071,213","354,820","193,149","1,534","3,894","5,428",440,,,,
2011,Other amusement and recreation activities n.e.c.,"178,069","57,014","16,837",149,326,475,124,,,,
2012,"Passenger rail transport, interurban","179,854","101,251","67,959",642,247,889,6,,,,
2012,Urban and suburban passenger land transport,"2,798,718","1,429,308","1,142,966","12,437","22,224","34,661","1,141",,,,
2012,Other passenger land transport,"76,003","38,196","31,865",186,751,937,28,,,,
2012,Sea and coastal passenger water transport,"3,860","1,241","2,066",14,43,57,14,,,,
2012,Inland passenger water transport,"12,679","4,884","5,928",33,158,191,12,,,,
2012,Passenger air transport,"31,162,721","14,992,556","3,656,218","16,393","6,920","23,313",213,,,,
2012,Short term accommodation activities,"14,952,171","7,626,949","3,014,364","23,137","73,898","97,035","22,607",,,,
2012,"Camping grounds, recreational vehicle parks and trailer parks","19,784","9,795","9,645",96,239,335,105,,,,
2012,Other accommodation,"107,925","43,519","63,723",252,"1,868","2,120",195,,,,
2012,Restaurants and mobile food service activities,"32,417,487","16,726,239","6,802,395","26,172","207,055","233,227","56,300",,,,
2012,Other food service activities,"131,821","62,692","26,470",162,551,713,118,,,,
2012,Beverage serving activities,"2,606,936","1,332,372","728,333","3,180","20,582","23,762","6,848",,,,
2012,Real estate activities with own or leased property,"18,173,878","6,636,502","2,327,374","32,874","35,304","68,178","21,782",,,,
2012,Real estate activities on a fee or contract basis,"598,754","136,375","335,297","5,067","5,280","10,347","3,188",,,,
2012,Renting and leasing of motor vehicles,"5,525,579","2,283,024","575,116","5,293","10,533","15,826","3,372",,,,
2012,Renting and leasing of recreational and sports goods,"112,254","66,489","15,981",119,398,517,175,,,,
2012,Travel agency activities,"3,372,540","1,534,907","443,649","3,499","5,630","9,129","1,394",,,,
2012,Tour operator activities,"1,588,170","860,868","181,274","2,648","2,496","5,144",855,,,,
2012,Other reservation service and related activities,"65,335","23,267","17,997",148,281,429,104,,,,
2012,"Creative, arts and entertainment activities","251,095","105,520","21,975",244,518,762,219,,,,
2012,Museums activities and operation of historical sites and buildings,"25,103","13,269","4,102",41,93,134,100,,,,
2012,Botanical and zoological gardens and nature reserves activities,"165,100","95,176","12,925",89,329,418,169,,,,
2012,Gambling and betting activities,0,0,0,0,0,0,0,,,,
2012,Operation of sports facilities,"314,158","90,537","46,557",161,436,597,238,,,,
2012,Other sports activities,"23,996","6,115","6,620",70,148,218,85,,,,
2012,Activities of amusement parks and theme parks,"1,092,637","361,916","198,943","1,549","3,933","5,482",453,,,,
2012,Other amusement and recreation activities n.e.c.,"183,411","57,754","16,154",150,329,479,126,,,,
2013,"Passenger rail transport, interurban","192,997","112,513","71,357",661,259,920,6,,,,
2013,Urban and suburban passenger land transport,"2,840,692","1,457,894","1,177,255","12,686","22,446","35,132","1,175",,,,
2013,Other passenger land transport,"80,383","38,578","32,184",190,759,949,29,,,,
2013,Sea and coastal passenger water transport,"3,979","1,253","2,107",14,43,57,14,,,,
2013,Inland passenger water transport,"14,756","4,933","6,106",34,161,195,12,,,,
2013,Passenger air transport,"31,474,348","15,142,482","3,729,342","16,557","6,989","23,546",217,,,,
2013,Short term accommodation activities,"16,801,693","7,703,218","3,074,651","23,600","74,637","98,237","23,285",,,,
2013,"Camping grounds, recreational vehicle parks and trailer parks","20,180","9,893","9,741",98,244,342,109,,,,
2013,Other accommodation,"110,614","44,389","64,997",257,"1,887","2,144",199,,,,
2013,Restaurants and mobile food service activities,"32,741,662","16,893,501","6,870,419","26,695","211,196","237,891","58,552",,,,
2013,Other food service activities,"134,457","63,319","26,999",164,557,721,120,,,,
2013,Beverage serving activities,"2,633,005","1,359,019","742,900","3,212","20,994","24,206","6,985",,,,
2013,Real estate activities with own or leased property,"18,537,356","6,702,867","2,373,921","33,203","35,657","68,860","22,435",,,,
2013,Real estate activities on a fee or contract basis,"601,083","139,103","342,003","5,168","5,333","10,501","3,252",,,,
2013,Renting and leasing of motor vehicles,"5,636,091","2,305,854","580,867","5,346","10,638","15,984","3,507",,,,
2013,Renting and leasing of recreational and sports goods,"111,207","67,819","16,141",121,406,527,180,,,,
2013,Travel agency activities,"3,439,991","1,550,256","448,085","3,534","5,686","9,220","1,422",,,,
2013,Tour operator activities,"1,604,052","869,477","184,899","2,701","2,521","5,222",872,,,,
2013,Other reservation service and related activities,"66,642","23,500","18,177",151,284,435,105,,,,
2013,"Creative, arts and entertainment activities","253,606","107,630","22,415",249,528,777,221,,,,
2013,Museums activities and operation of historical sites and buildings,"25,354","13,402","4,143",42,94,136,101,,,,
2013,Botanical and zoological gardens and nature reserves activities,"168,402","96,128","13,184",91,336,427,172,,,,
2013,Gambling and betting activities,0,0,0,0,0,0,0,,,,
2013,Operation of sports facilities,"317,300","92,348","47,488",163,445,608,243,,,,
2013,Other sports activities,"24,476","8,166","6,752",71,149,220,87,,,,
2013,Activities of amusement parks and theme parks,"1,114,490","369,154","202,922","1,580","4,012","5,592",471,,,,
2013,Other amusement and recreation activities n.e.c.,"187,079","58,509","16,800",153,336,489,130,,,,
2014,"Passenger rail transport, interurban","205,577","119,524","75,638",678,271,949,6,,,,
2014,Urban and suburban passenger land transport,"2,983,506","1,487,052","1,200,800","12,940","22,670","35,610","1,199",,,,
2014,Other passenger land transport,"71,791","38,964","32,506",194,767,961,30,,,,
2014,Sea and coastal passenger water transport,"3,999","1,266","2,149",14,43,57,15,,,,
2014,Inland passenger water transport,"14,834","4,982","6,228",34,164,198,12,,,,
2014,Passenger air transport,"31,789,091","15,293,907","3,766,635","16,723","7,129","23,852",221,,,,
2014,Short term accommodation activities,"16,969,710","7,857,282","3,105,398","23,836","76,876","100,712","23,751",,,,
2014,"Camping grounds, recreational vehicle parks and trailer parks","20,584","10,091","9,838",100,249,349,111,,,,
2014,Other accommodation,"113,006","45,721","65,647",260,"1,906","2,166",203,,,,
2014,Restaurants and mobile food service activities,"33,723,912","17,231,371","7,007,827","26,962","213,308","240,270","59,723",,,,
2014,Other food service activities,"137,146","63,952","27,269",167,563,730,121,,,,
2014,Beverage serving activities,"2,659,335","1,372,609","750,329","3,244","21,204","24,448","7,125",,,,
2014,Real estate activities with own or leased property,"18,722,730","6,769,896","2,421,399","33,535","36,370","69,905","22,884",,,,
2014,Real estate activities on a fee or contract basis,"602,541","140,494","345,423","5,220","5,440","10,660","3,285",,,,
2014,Renting and leasing of motor vehicles,"5,692,452","2,351,971","592,484","5,399","10,957","16,356","3,542",,,,
2014,Renting and leasing of recreational and sports goods,"115,169","68,497","16,302",123,414,537,182,,,,
2014,Travel agency activities,"3,508,791","1,565,759","457,047","3,569","5,743","9,312","1,436",,,,
2014,Tour operator activities,"1,620,093","886,867","188,597","2,728","2,546","5,274",881,,,,
2014,Other reservation service and related activities,"67,975","23,735","18,541",154,287,441,107,,,,
2014,"Creative, arts and entertainment activities","256,142","109,783","22,639",251,533,784,225,,,,
2014,Museums activities and operation of historical sites and buildings,"25,861","13,536","4,226",43,96,139,103,,,,
2014,Botanical and zoological gardens and nature reserves activities,"171,770","98,051","13,316",92,339,431,175,,,,
2014,Gambling and betting activities,0,0,0,0,0,0,0,,,,
2014,Operation of sports facilities,"320,473","94,195","48,438",166,454,620,248,,,,
2014,Other sports activities,"24,966","8,218","6,887",72,150,222,89,,,,
2014,Activities of amusement parks and theme parks,"1,136,780","376,537","209,010","1,596","4,092","5,688",476,,,,
2014,Other amusement and recreation activities n.e.c.,"190,821","49,279","17,136",155,339,494,131,,,,
2015,"Passenger rail transport, interurban","211,852","125,142","79,027",695,282,977,6,,,,
2015,Urban and suburban passenger land transport,"3,092,138","1,576,419","1,231,485","13,328","23,124","36,452","1,221",,,,
2015,Other passenger land transport,"74,751","41,267","33,214",198,783,981,31,,,,
2015,Sea and coastal passenger water transport,"4,154","1,307","2,209",14,44,58,15,,,,
2015,Inland passenger water transport,"15,124","5,095","6,386",34,167,201,12,,,,
2015,Passenger air transport,"32,749,068","15,923,980","3,858,801","17,057","7,272","24,329",225,,,,
2015,Short term accommodation activities,"17,462,243","8,258,691","3,167,169","24,322","78,287","102,609","23,949",,,,
2015,"Camping grounds, recreational vehicle parks and trailer parks","21,357","10,759","10,307",101,254,355,113,,,,
2015,Other accommodation,"115,851","48,259","68,227",263,"1,944","2,207",207,,,,
2015,Restaurants and mobile food service activities,"35,063,946","18,406,479","7,124,805","27,455","215,086","242,541","60,329",,,,
2015,Other food service activities,"142,380","67,722","28,032",169,574,743,122,,,,
2015,Beverage serving activities,"2,736,026","1,436,433","771,967","3,276","21,628","24,904","7,204",,,,
2015,Real estate activities with own or leased property,"19,100,937","7,028,575","2,470,312","33,872","36,739","70,611","23,109",,,,
2015,Real estate activities on a fee or contract basis,"639,335","147,433","355,835","5,272","5,494","10,766","3,319",,,,
2015,Renting and leasing of motor vehicles,"5,823,546","2,449,660","606,129","5,488","11,079","16,567","3,609",,,,
2015,Renting and leasing of recreational and sports goods,"119,054","69,809","16,618",124,418,542,185,,,,
2015,Travel agency activities,"3,615,479","1,653,017","470,944","3,605","5,802","9,407","1,464",,,,
2015,Tour operator activities,"1,667,940","920,050","194,167","2,782","2,594","5,376",896,,,,
2015,Other reservation service and related activities,"70,278","25,269","19,169",155,292,447,109,,,,
2015,"Creative, arts and entertainment activities","264,313","115,027","23,361",257,544,801,230,,,,
2015,Museums activities and operation of historical sites and buildings,"26,758","14,310","4,373",43,98,141,105,,,,
2015,Botanical and zoological gardens and nature reserves activities,"178,457","104,001","13,719",97,342,439,177,,,,
2015,Gambling and betting activities,0,0,0,0,0,0,0,,,,
2015,Operation of sports facilities,"329,420","100,880","49,390",168,463,631,253,,,,
2015,Other sports activities,"25,443","5,497","7,019",73,151,224,91,,,,
2015,Activities of amusement parks and theme parks,"1,167,930","400,084","214,137","1,612","4,174","5,786",486,,,,
2015,Other amusement and recreation activities n.e.c.,"196,801","43,744","17,726",157,346,503,134,,,,
2016,"Passenger rail transport, interurban","217,236","129,936","81,689",709,288,997,6,,,,
2016,Urban and suburban passenger land transport,"3,085,894","1,559,975","1,188,503","13,595","23,586","37,181","1,245",,,,
2016,Other passenger land transport,"76,778","40,945","32,453",200,799,999,31,,,,
2016,Sea and coastal passenger water transport,"4,079","1,246","2,107",14,44,58,15,,,,
2016,Inland passenger water transport,"15,173","4,869","6,155",34,169,203,12,,,,
2016,Passenger air transport,"33,169,925","16,105,070","3,937,159","17,228","7,345","24,573",227,,,,
2016,Short term accommodation activities,"17,900,906","8,517,669","3,357,983","24,808","79,070","103,878","24,188",,,,
2016,"Camping grounds, recreational vehicle parks and trailer parks","23,439","11,933","10,982",103,259,362,114,,,,
2016,Other accommodation,"122,894","51,764","70,610",271,"1,983","2,254",209,,,,
2016,Restaurants and mobile food service activities,"36,679,183","19,055,727","7,974,457","28,004","221,539","249,543","61,536",,,,
2016,Other food service activities,"146,250","69,799","29,964",171,585,756,123,,,,
2016,Beverage serving activities,"2,791,946","1,474,787","829,710","3,309","21,844","25,153","7,276",,,,
2016,Real estate activities with own or leased property,"19,138,809","6,964,507","2,343,067","34,211","37,106","71,317","23,571",,,,
2016,Real estate activities on a fee or contract basis,"644,412","123,785","346,943","5,325","5,604","10,929","3,352",,,,
2016,Renting and leasing of motor vehicles,"5,847,699","2,431,998","598,207","5,598","11,190","16,788","3,681",,,,
2016,Renting and leasing of recreational and sports goods,"120,887","71,289","17,436",125,422,547,187,,,,
2016,Travel agency activities,"3,695,052","1,695,408","498,255","3,641","5,918","9,559","1,493",,,,
2016,Tour operator activities,"1,706,310","946,015","212,782","2,838","2,620","5,458",914,,,,
2016,Other reservation service and related activities,"72,946","26,555","20,014",157,298,455,110,,,,
2016,"Creative, arts and entertainment activities","269,078","118,394","25,040",262,549,811,232,,,,
2016,Museums activities and operation of historical sites and buildings,"27,313","14,633","4,660",43,100,143,106,,,,
2016,Botanical and zoological gardens and nature reserves activities,"183,216","106,830","14,719",99,349,448,179,,,,
2016,Gambling and betting activities,0,0,0,0,0,0,0,,,,
2016,Operation of sports facilities,"331,849","99,990","49,833",171,468,639,258,,,,
2016,Other sports activities,"25,255","5,069","7,009",74,153,227,93,,,,
2016,Activities of amusement parks and theme parks,"1,188,239","416,835","227,713","1,628","4,216","5,844",501,,,,
2016,Other amusement and recreation activities n.e.c.,"147,314","45,205","17,590",159,349,508,137,,,,
2017, Accommodation for Visitors,"20,596,450",9132904,"3,272,622",,,"114,957",8989,"28,847",509,"85,259",342
2017,Food and Beverage Serving Activities,"41,511,456",23152766,"7,375,810",,,"289,491",52024,"35,386","1,156","249,361","3,588"
2017, Railways Passenger Transport,"227,842",135508,"87,087",,,"1,593",6,"1,238",44,311,0
2017, Road Passenger Transport,"4,260,046",2303433,"1,366,521",,,"38,771",1645,"12,926",102,"25,644",99
2017, Water Passenger Transport,"24,617",8493,"9,383",,,282,43,51,0,231,0
2017, Air Passenger Transport,"32,787,596",15166565,"3,703,769",,,"27,136",31,"15,219",755,"4,110","7,052"
2017, Transport Equipment Rental,"6,919,160",2778640,"627,416",,,"20,493",3763,"5,916",110,"14,315",152
2017,  Travel Agencies and other Reservation Service Activities,"7,037,524",4201485,"1,464,876",,,"25,140",2878,"9,102",608,"13,823","1,607"
2017,Cultural  Activities,"628,313",393816,"59,865",,,"2,192",468,606,74,"1,488",24
2017,Sports and Recreational Activities,"3,930,445",949501,"541,521",,,"12,966",1524,"2,555","2,873","6,779",759
2017,Other KSA-Specific Tourism Characteristic Activities,"802,316",314312,"127,130",,,"2,920",229,"1,244",74,"1,572",30
2018,Accommodation for Visitors,21741578,9471418,"3,394,230","88,488",30453,118941,"9,101","29,909",544,"88,129",359
2018,Food and Beverage Serving Activities,43441046,23907505,"7,684,670","260,679",37808,298487,"52,518","36,593","1,215","256,990","3,689"
2018,Railways Passenger Transport,238077,139573,"92,777",321,1334,1655,6,"1,287",47,321,0
2018,Road Passenger Transport,4507727,2445188,"1,429,964","26,309",13360,39669,"1,662","13,251",109,"26,204",105
2018,Water Passenger Transport,26155,8812,"9,963",246,53,299,43,53,0,246,0
2018,Air Passenger Transport,34143347,16076559,"3,865,636","11,591",16641,28232,31,"15,839",802,"4,179","7,412"
2018,Transport Equipment Rental,7233393,2928121,"647,227","14,906",6178,21084,"3,838","6,063",115,"14,748",158
2018,Travel Agencies and Reservation Services,7236799,4346845,"1,496,891","15,711",9849,25560,"2,903","9,220",629,"14,094","1,617"
2018,Cultural  Activities,657880,406728,"62,756","1,553",703,2256,480,624,79,"1,528",25
2018,Sports and Recreational Activities,4065610,987480,"575,155","7,805",5554,13359,"1,570","2,630","2,924","7,010",795
2018,Other Specific Tourism Characteristic Services,845275,332664,"134,808","1,668",1346,3014,237,"1,270",76,"1,636",32